CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-09-02,All countries,,Probable,2618,Not reported.,Data not available.
2015-09-02,All countries,,Suspected,10263,Not reported.,Data not available.
2015-09-02,All countries,,Total,28073,9,11290
2015-09-03,Guinea,,1 September 2015,Confirmed,3338,2077
2015-09-03,Guinea,,1 September 2015,Probable,452,452
2015-09-03,Guinea,,1 September 2015,Suspected,2,Not available
2015-09-03,Guinea,,1 September 2015,Total,3792,2529
2015-09-03,Liberia,,20 August 2015,Confirmed,6,2
2015-09-03,Liberia,,20 August 2015,Probable,0,Not available
2015-09-03,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-09-03,Liberia,,20 August 2015,Total,6,2
2015-09-03,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-03,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-03,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-03,Liberia,,9 May 2015,Total,10666,4806
2015-09-03,Sierra Leone,,1 September 2015,Confirmed,8698,3587
2015-09-03,Sierra Leone,,1 September 2015,Probable,287,208
2015-09-03,Sierra Leone,,1 September 2015,Suspected,4653,158
2015-09-03,Sierra Leone,,1 September 2015,Total,13638,3953
2015-09-03,All countries,,,Confirmed,15193,Not available
2015-09-03,All countries,,,Probable,2618,Not available
2015-09-03,All countries,,,Suspected,10291,Not available
2015-09-03,All countries,,,Total,28102,11290
2015-09-04,Guinea,,2 September 2015,Confirmed,3338,2077
2015-09-04,Guinea,,2 September 2015,Probable,452,452
2015-09-04,Guinea,,2 September 2015,Suspected,2,Not available
2015-09-04,Guinea,,2 September 2015,Total,3792,2529
2015-09-04,Liberia,,20 August 2015,Confirmed,6,2
2015-09-04,Liberia,,20 August 2015,Probable,0,Not available
2015-09-04,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-09-04,Liberia,,20 August 2015,Total,6,2
2015-09-04,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-04,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-04,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-04,Liberia,,9 May 2015,Total,10666,4806
2015-09-04,Sierra Leone,,2 September 2015,Confirmed,8698,3587
2015-09-04,Sierra Leone,,2 September 2015,Probable,287,208
2015-09-04,Sierra Leone,,2 September 2015,Suspected,4654,158
2015-09-04,Sierra Leone,,2 September 2015,Total,13639,3953
2015-09-04,All countries,,,Confirmed,15193,Not available
2015-09-04,All countries,,,Probable,2618,Not available
2015-09-04,All countries,,,Suspected,10292,Not available
2015-09-04,All countries,,,Total,28103,11290
2015-09-07,Guinea,,5 September 2015,Confirmed,3338,2078
2015-09-07,Guinea,,5 September 2015,Probable,452,452
2015-09-07,Guinea,,5 September 2015,Suspected,3,Not available
2015-09-07,Guinea,,5 September 2015,Total,3793,2530
2015-09-07,Liberia,,20 August 2015,Confirmed,6,2
2015-09-07,Liberia,,20 August 2015,Probable,0,Not available
2015-09-07,Liberia,,20 August 2015,Suspected,Not available,Not available
2015-09-07,Liberia,,20 August 2015,Total,6,2
2015-09-07,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-07,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-07,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-07,Liberia,,9 May 2015,Total,10666,4806
2015-09-07,Sierra Leone,,5 September 2015,Confirmed,8699,3587
2015-09-07,Sierra Leone,,5 September 2015,Probable,287,208
2015-09-07,Sierra Leone,,5 September 2015,Suspected,4684,158
2015-09-07,Sierra Leone,,5 September 2015,Total,13670,3953
2015-09-07,All countries,,,Confirmed,15194,Not available
2015-09-07,All countries,,,Probable,2618,Not available
2015-09-07,All countries,,,Suspected,10323,Not available
2015-09-07,All countries,,,Total,28135,11291
2015-09-08,Guinea,,6 September 2015,Confirmed,3338,2078
2015-09-08,Guinea,,6 September 2015,Probable,452,452
2015-09-08,Guinea,,6 September 2015,Suspected,2,Not available
2015-09-08,Guinea,,6 September 2015,Total,3792,2530
2015-09-08,Liberia,,30 August 2015,Confirmed,6,2
2015-09-08,Liberia,,30 August 2015,Probable,0,Not available
2015-09-08,Liberia,,30 August 2015,Suspected,Not available,Not available
2015-09-08,Liberia,,30 August 2015,Total,6,2
2015-09-08,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-08,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-08,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-08,Liberia,,9 May 2015,Total,10666,4806
2015-09-08,Sierra Leone,,6 September 2015,Confirmed,8699,3587
2015-09-08,Sierra Leone,,6 September 2015,Probable,287,208
2015-09-08,Sierra Leone,,6 September 2015,Suspected,4697,158
2015-09-08,Sierra Leone,,6 September 2015,Total,13683,3953
2015-09-08,All countries,,,Confirmed,15194,Not available
2015-09-08,All countries,,,Probable,2618,Not available
2015-09-08,All countries,,,Suspected,10335,Not available
2015-09-08,All countries,,,Total,28147,11291
2015-09-09,Guinea,6 September 2015,Confirmed,3338,6,2078
2015-09-09,Guinea,6 September 2015,Probable,452,Not reported.,452
2015-09-09,Guinea,6 September 2015,Suspected,2,Not reported.,Data not available.
2015-09-09,Guinea,6 September 2015,Total,3792,6,2530
2015-09-09,Liberia,6 September 2015,Confirmed,6,0,2
2015-09-09,Liberia,6 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-09-09,Liberia,6 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-09-09,Liberia,6 September 2015,Total,6,0,2
2015-09-09,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-09-09,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-09-09,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-09-09,Liberia,9 May 2015,Total,10666,,4806
2015-09-09,Sierra Leone,6 September 2015,Confirmed,8699,2,3587
2015-09-09,Sierra Leone,6 September 2015,Probable,287,Not reported.,208
2015-09-09,Sierra Leone,6 September 2015,Suspected,4697,Not reported.,158
2015-09-09,Sierra Leone,6 September 2015,Total,13683,2,3953
2015-09-09,All countries,,Confirmed,15194,8,Data not available.
2015-09-09,All countries,,Probable,2618,Not reported.,Data not available.
2015-09-09,All countries,,Suspected,10335,Not reported.,Data not available.
2015-09-09,All countries,,Total,28147,8,11291
2015-09-10,Guinea,,8 September 2015,Confirmed,3338,2078
2015-09-10,Guinea,,8 September 2015,Probable,452,452
2015-09-10,Guinea,,8 September 2015,Suspected,1,Not available
2015-09-10,Guinea,,8 September 2015,Total,3791,2530
2015-09-10,Liberia,,7 September 2015,Confirmed,6,2
2015-09-10,Liberia,,7 September 2015,Probable,0,Not available
2015-09-10,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-10,Liberia,,7 September 2015,Total,6,2
2015-09-10,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-10,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-10,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-10,Liberia,,9 May 2015,Total,10666,4806
2015-09-10,Sierra Leone,,8 September 2015,Confirmed,8702,3587
2015-09-10,Sierra Leone,,8 September 2015,Probable,287,208
2015-09-10,Sierra Leone,,8 September 2015,Suspected,4708,158
2015-09-10,Sierra Leone,,8 September 2015,Total,13697,3953
2015-09-10,All countries,,,Confirmed,15197,Not available
2015-09-10,All countries,,,Probable,2618,Not available
2015-09-10,All countries,,,Suspected,10345,Not available
2015-09-10,All countries,,,Total,28160,11291
2015-09-11,Guinea,,9 September 2015,Confirmed,3338,2078
2015-09-11,Guinea,,9 September 2015,Probable,452,452
2015-09-11,Guinea,,9 September 2015,Suspected,1,Not available
2015-09-11,Guinea,,9 September 2015,Total,3791,2530
2015-09-11,Liberia,,7 September 2015,Confirmed,6,2
2015-09-11,Liberia,,7 September 2015,Probable,0,Not available
2015-09-11,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-11,Liberia,,7 September 2015,Total,6,2
2015-09-11,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-11,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-11,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-11,Liberia,,9 May 2015,Total,10666,4806
2015-09-11,Sierra Leone,,9 September 2015,Confirmed,8703,3587
2015-09-11,Sierra Leone,,9 September 2015,Probable,287,208
2015-09-11,Sierra Leone,,9 September 2015,Suspected,4711,158
2015-09-11,Sierra Leone,,9 September 2015,Total,13701,3953
2015-09-11,All countries,,,Confirmed,15198,Not available
2015-09-11,All countries,,,Probable,2618,Not available
2015-09-11,All countries,,,Suspected,10348,Not available
2015-09-11,All countries,,,Total,28164,11291
2015-09-14,Guinea,,12 September 2015,Confirmed,3338,2078
2015-09-14,Guinea,,12 September 2015,Probable,452,452
2015-09-14,Guinea,,12 September 2015,Suspected,3,Not available
2015-09-14,Guinea,,12 September 2015,Total,3793,2530
2015-09-14,Liberia,,7 September 2015,Confirmed,6,2
2015-09-14,Liberia,,7 September 2015,Probable,0,Not available
2015-09-14,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-14,Liberia,,7 September 2015,Total,6,2
2015-09-14,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-14,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-14,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-14,Liberia,,9 May 2015,Total,10666,4806
2015-09-14,Sierra Leone,,12 September 2015,Confirmed,8703,3587
2015-09-14,Sierra Leone,,12 September 2015,Probable,287,208
2015-09-14,Sierra Leone,,12 September 2015,Suspected,4757,158
2015-09-14,Sierra Leone,,12 September 2015,Total,13747,3953
2015-09-14,All countries,,,Confirmed,15198,Not available
2015-09-14,All countries,,,Probable,2618,Not available
2015-09-14,All countries,,,Suspected,10396,Not available
2015-09-14,All countries,,,Total,28212,11291
2015-09-15,Guinea,,13 September 2015,Confirmed,3338,2078
2015-09-15,Guinea,,13 September 2015,Probable,452,452
2015-09-15,Guinea,,13 September 2015,Suspected,2,Not available
2015-09-15,Guinea,,13 September 2015,Total,3792,2530
2015-09-15,Liberia,,7 September 2015,Confirmed,6,2
2015-09-15,Liberia,,7 September 2015,Probable,0,Not available
2015-09-15,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-15,Liberia,,7 September 2015,Total,6,2
2015-09-15,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-15,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-15,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-15,Liberia,,9 May 2015,Total,10666,4806
2015-09-15,Sierra Leone,,13 September 2015,Confirmed,8704,3587
2015-09-15,Sierra Leone,,13 September 2015,Probable,287,208
2015-09-15,Sierra Leone,,13 September 2015,Suspected,4765,158
2015-09-15,Sierra Leone,,13 September 2015,Total,13756,3953
2015-09-15,All countries,,,Confirmed,15199,Not available
2015-09-15,All countries,,,Probable,2618,Not available
2015-09-15,All countries,,,Suspected,10403,Not available
2015-09-15,All countries,,,Total,28220,11291
2015-09-16,Guinea,13 September 2015,Confirmed,3338,3,2078
2015-09-16,Guinea,13 September 2015,Probable,452,Not reported.,452
2015-09-16,Guinea,13 September 2015,Suspected,2,Not reported.,Data not available.
2015-09-16,Guinea,13 September 2015,Total,3792,3,2530
2015-09-16,Liberia,7 September 2015,Confirmed,6,0,2
2015-09-16,Liberia,7 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-09-16,Liberia,7 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-09-16,Liberia,7 September 2015,Total,6,0,2
2015-09-16,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-09-16,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-09-16,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-09-16,Liberia,9 May 2015,Total,10666,,4806
2015-09-16,Sierra Leone,13 September 2015,Confirmed,8704,7,3587
2015-09-16,Sierra Leone,13 September 2015,Probable,287,Not reported.,208
2015-09-16,Sierra Leone,13 September 2015,Suspected,4765,Not reported.,158
2015-09-16,Sierra Leone,13 September 2015,Total,13756,7,3953
2015-09-16,All countries,,Confirmed,15199,10,Data not available.
2015-09-16,All countries,,Probable,2618,Not reported.,Data not available.
2015-09-16,All countries,,Suspected,10403,Not reported.,Data not available.
2015-09-16,All countries,,Total,28220,10,11291
2015-09-17,Guinea,,15 September 2015,Confirmed,3338,2078
2015-09-17,Guinea,,15 September 2015,Probable,452,452
2015-09-17,Guinea,,15 September 2015,Suspected,4,Not available
2015-09-17,Guinea,,15 September 2015,Total,3794,2530
2015-09-17,Liberia,,7 September 2015,Confirmed,6,2
2015-09-17,Liberia,,7 September 2015,Probable,0,Not available
2015-09-17,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-17,Liberia,,7 September 2015,Total,6,2
2015-09-17,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-17,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-17,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-17,Liberia,,9 May 2015,Total,10666,4806
2015-09-17,Sierra Leone,,15 September 2015,Confirmed,8704,3589
2015-09-17,Sierra Leone,,15 September 2015,Probable,287,208
2015-09-17,Sierra Leone,,15 September 2015,Suspected,4788,158
2015-09-17,Sierra Leone,,15 September 2015,Total,13779,3955
2015-09-17,All countries,,,Confirmed,15199,Not available
2015-09-17,All countries,,,Probable,2618,Not available
2015-09-17,All countries,,,Suspected,10428,Not available
2015-09-17,All countries,,,Total,28245,11293
2015-09-18,Guinea,,16 September 2015,Confirmed,3339,2079
2015-09-18,Guinea,,16 September 2015,Probable,452,452
2015-09-18,Guinea,,16 September 2015,Suspected,3,Not available
2015-09-18,Guinea,,16 September 2015,Total,3794,2531
2015-09-18,Liberia,,7 September 2015,Confirmed,6,2
2015-09-18,Liberia,,7 September 2015,Probable,0,Not available
2015-09-18,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-18,Liberia,,7 September 2015,Total,6,2
2015-09-18,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-18,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-18,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-18,Liberia,,9 May 2015,Total,10666,4806
2015-09-18,Sierra Leone,,16 September 2015,Confirmed,8704,3589
2015-09-18,Sierra Leone,,16 September 2015,Probable,287,208
2015-09-18,Sierra Leone,,16 September 2015,Suspected,4794,158
2015-09-18,Sierra Leone,,16 September 2015,Total,13785,3955
2015-09-18,All countries,,,Confirmed,15200,Not available
2015-09-18,All countries,,,Probable,2618,Not available
2015-09-18,All countries,,,Suspected,10433,Not available
2015-09-18,All countries,,,Total,28251,11294
2015-09-21,Guinea,,19 September 2015,Confirmed,3340,2079
2015-09-21,Guinea,,19 September 2015,Probable,453,453
2015-09-21,Guinea,,19 September 2015,Suspected,4,Not available
2015-09-21,Guinea,,19 September 2015,Total,3797,2532
2015-09-21,Liberia,,7 September 2015,Confirmed,6,2
2015-09-21,Liberia,,7 September 2015,Probable,0,Not available
2015-09-21,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-21,Liberia,,7 September 2015,Total,6,2
2015-09-21,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-21,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-21,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-21,Liberia,,9 May 2015,Total,10666,4806
2015-09-21,Sierra Leone,,19 September 2015,Confirmed,8704,3589
2015-09-21,Sierra Leone,,19 September 2015,Probable,287,208
2015-09-21,Sierra Leone,,19 September 2015,Suspected,4820,158
2015-09-21,Sierra Leone,,19 September 2015,Total,13811,3955
2015-09-21,All countries,,,Confirmed,15201,Not available
2015-09-21,All countries,,,Probable,2619,Not available
2015-09-21,All countries,,,Suspected,10460,Not available
2015-09-21,All countries,,,Total,28280,11295
2015-09-22,Guinea,,20 September 2015,Confirmed,3340,2079
2015-09-22,Guinea,,20 September 2015,Probable,453,453
2015-09-22,Guinea,,20 September 2015,Suspected,7,Not available
2015-09-22,Guinea,,20 September 2015,Total,3800,2532
2015-09-22,Liberia,,7 September 2015,Confirmed,6,2
2015-09-22,Liberia,,7 September 2015,Probable,0,Not available
2015-09-22,Liberia,,7 September 2015,Suspected,Not available,Not available
2015-09-22,Liberia,,7 September 2015,Total,6,2
2015-09-22,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-22,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-22,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-22,Liberia,,9 May 2015,Total,10666,4806
2015-09-22,Sierra Leone,,20 September 2015,Confirmed,8704,3589
2015-09-22,Sierra Leone,,20 September 2015,Probable,287,208
2015-09-22,Sierra Leone,,20 September 2015,Suspected,4832,158
2015-09-22,Sierra Leone,,20 September 2015,Total,13823,3955
2015-09-22,All countries,,,Confirmed,15201,Not available
2015-09-22,All countries,,,Probable,2619,Not available
2015-09-22,All countries,,,Suspected,10475,Not available
2015-09-22,All countries,,,Total,28295,11295
2015-09-23,Guinea,20 September 2015,Confirmed,3340,3,2079
2015-09-23,Guinea,20 September 2015,Probable,453,Not reported.,453
2015-09-23,Guinea,20 September 2015,Suspected,7,Not reported.,Data not available.
2015-09-23,Guinea,20 September 2015,Total,3800,3,2532
2015-09-23,Liberia,7 September 2015,Confirmed,6,0,2
2015-09-23,Liberia,7 September 2015,Probable,Not reported.,Not reported.,Data not available.
2015-09-23,Liberia,7 September 2015,Suspected,Data not available.,Not reported.,Data not available.
2015-09-23,Liberia,7 September 2015,Total,6,0,2
2015-09-23,Liberia,9 May 2015,Confirmed,3151,,Data not available.
2015-09-23,Liberia,9 May 2015,Probable,1879,,Data not available.
2015-09-23,Liberia,9 May 2015,Suspected,5636,,Data not available.
2015-09-23,Liberia,9 May 2015,Total,10666,,4806
2015-09-23,Sierra Leone,20 September 2015,Confirmed,8704,6,3589
2015-09-23,Sierra Leone,20 September 2015,Probable,287,Not reported.,208
2015-09-23,Sierra Leone,20 September 2015,Suspected,4832,Not reported.,158
2015-09-23,Sierra Leone,20 September 2015,Total,13823,6,3955
2015-09-23,All countries,,Confirmed,15201,9,Data not available.
2015-09-23,All countries,,Probable,2619,Not reported.,Data not available.
2015-09-23,All countries,,Suspected,10475,Not reported.,Data not available.
2015-09-23,All countries,,Total,28295,9,11295
2015-09-24,Guinea,,22 September 2015,Confirmed,3340,2080
2015-09-24,Guinea,,22 September 2015,Probable,453,453
2015-09-24,Guinea,,22 September 2015,Suspected,8,Not available
2015-09-24,Guinea,,22 September 2015,Total,3801,2533
2015-09-24,Liberia,,17 September 2015,Confirmed,6,2
2015-09-24,Liberia,,17 September 2015,Probable,0,Not available
2015-09-24,Liberia,,17 September 2015,Suspected,Not available,Not available
2015-09-24,Liberia,,17 September 2015,Total,6,2
2015-09-24,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-09-24,Liberia,,9 May 2015,Probable,1879,Not available
2015-09-24,Liberia,,9 May 2015,Suspected,5636,Not available
2015-09-24,Liberia,,9 May 2015,Total,10666,4806
2015-09-24,Sierra Leone,,22 September 2015,Confirmed,8704,3589
2015-09-24,Sierra Leone,,22 September 2015,Probable,287,208
2015-09-24,Sierra Leone,,22 September 2015,Suspected,4855,158
